   epoch	Total loss	  Bce loss	Thresh loss	  L1 loss	Binary Acc	Binary IoU	   rescall	 precision	   hmean	
92.000000	1.086281	0.274915	0.247817	0.056355	0.801522	0.751303	0.000000	0.000000	0.000000	
93.000000	1.101733	0.277849	0.258367	0.056552	0.801927	0.751760	0.000000	0.000000	0.000000	
94.000000	1.082969	0.272386	0.246045	0.056454	0.802421	0.752288	0.000000	0.000000	0.000000	
95.000000	1.080608	0.273861	0.248334	0.055841	0.802858	0.752768	0.000000	0.000000	0.000000	
96.000000	1.081997	0.272338	0.249542	0.056012	0.803297	0.753238	0.000000	0.000000	0.000000	
97.000000	1.067569	0.266308	0.243358	0.055790	0.803735	0.753732	0.000000	0.000000	0.000000	
98.000000	1.072410	0.269632	0.249702	0.055308	0.804179	0.754213	0.000000	0.000000	0.000000	
99.000000	1.061179	0.263622	0.245059	0.055250	0.804686	0.754747	0.000000	0.000000	0.000000	
100.000000	1.094035	0.273134	0.260328	0.056057	0.805070	0.755177	0.000000	0.000000	0.000000	
101.000000	1.078826	0.271664	0.248868	0.055829	0.805420	0.755587	0.000000	0.000000	0.000000	
102.000000	1.117768	0.285417	0.264374	0.056798	0.805782	0.755960	0.000000	0.000000	0.000000	
103.000000	1.174865	0.303755	0.279109	0.059200	0.805944	0.756193	0.000000	0.000000	0.000000	
104.000000	1.115050	0.286360	0.256006	0.057268	0.806218	0.756520	0.000000	0.000000	0.000000	
105.000000	1.115197	0.287765	0.253793	0.057364	0.806462	0.756821	0.000000	0.000000	0.000000	
106.000000	1.102882	0.280154	0.252418	0.057031	0.806750	0.757159	0.000000	0.000000	0.000000	
107.000000	1.073660	0.269832	0.243499	0.056033	0.807122	0.757562	0.000000	0.000000	0.000000	
108.000000	1.087562	0.273353	0.248553	0.056566	0.807426	0.757928	0.000000	0.000000	0.000000	
109.000000	1.078514	0.272051	0.249817	0.055665	0.807772	0.758313	0.000000	0.000000	0.000000	
110.000000	1.086419	0.275198	0.242825	0.056840	0.808080	0.758660	0.000000	0.000000	0.000000	
111.000000	1.088311	0.277817	0.244504	0.056599	0.808367	0.759001	0.000000	0.000000	0.000000	
112.000000	1.054512	0.265231	0.242652	0.054663	0.808757	0.759424	0.000000	0.000000	0.000000	
113.000000	1.047671	0.263223	0.234674	0.054977	0.809083	0.759805	0.000000	0.000000	0.000000	
114.000000	1.007246	0.249621	0.225696	0.053193	0.809496	0.760262	0.000000	0.000000	0.000000	
115.000000	1.035810	0.259619	0.233902	0.054229	0.809855	0.760671	0.000000	0.000000	0.000000	
116.000000	1.036489	0.258604	0.235893	0.054199	0.810262	0.761109	0.000000	0.000000	0.000000	
117.000000	1.056995	0.264523	0.248442	0.054403	0.810610	0.761492	0.000000	0.000000	0.000000	
118.000000	1.049223	0.262011	0.237228	0.054998	0.810930	0.761851	0.000000	0.000000	0.000000	
119.000000	1.046578	0.265012	0.235437	0.054613	0.811256	0.762218	0.000000	0.000000	0.000000	
120.000000	1.040466	0.261206	0.233222	0.054604	0.811570	0.762570	0.000000	0.000000	0.000000	
121.000000	1.058233	0.263622	0.241790	0.055282	0.811884	0.762921	0.000000	0.000000	0.000000	
122.000000	1.003945	0.246350	0.230022	0.052757	0.812299	0.763370	0.000000	0.000000	0.000000	
123.000000	0.995906	0.246026	0.221075	0.052881	0.812675	0.763791	0.000000	0.000000	0.000000	
124.000000	0.985874	0.245639	0.217386	0.052285	0.813054	0.764210	0.000000	0.000000	0.000000	
125.000000	1.010178	0.255397	0.225385	0.052940	0.813383	0.764588	0.000000	0.000000	0.000000	
126.000000	1.036933	0.260030	0.236550	0.054035	0.813688	0.764935	0.000000	0.000000	0.000000	
127.000000	1.048741	0.262731	0.235267	0.055074	0.813993	0.765266	0.000000	0.000000	0.000000	
128.000000	1.024982	0.256039	0.232394	0.053655	0.814298	0.765611	0.000000	0.000000	0.000000	
129.000000	1.037606	0.263330	0.237102	0.053717	0.814554	0.765908	0.000000	0.000000	0.000000	
130.000000	1.030786	0.258962	0.229076	0.054275	0.814815	0.766218	0.000000	0.000000	0.000000	
131.000000	1.049365	0.265193	0.238136	0.054604	0.815064	0.766508	0.000000	0.000000	0.000000	
132.000000	1.056096	0.263222	0.241878	0.055100	0.815313	0.766794	0.000000	0.000000	0.000000	
133.000000	1.037376	0.259501	0.232640	0.054524	0.815620	0.767129	0.000000	0.000000	0.000000	
134.000000	1.031606	0.256756	0.229009	0.054584	0.815877	0.767436	0.000000	0.000000	0.000000	
135.000000	1.026444	0.255619	0.233790	0.053704	0.816162	0.767758	0.000000	0.000000	0.000000	
136.000000	1.017298	0.253228	0.231151	0.053292	0.816447	0.768088	0.000000	0.000000	0.000000	
137.000000	1.042359	0.263503	0.237463	0.054139	0.816696	0.768363	0.000000	0.000000	0.000000	
138.000000	1.043911	0.261753	0.234501	0.054766	0.816897	0.768612	0.000000	0.000000	0.000000	
139.000000	1.044954	0.259355	0.239652	0.054595	0.817115	0.768870	0.000000	0.000000	0.000000	
140.000000	1.015222	0.252601	0.232921	0.052970	0.817401	0.769184	0.000000	0.000000	0.000000	
141.000000	1.027073	0.255753	0.233479	0.053784	0.817626	0.769458	0.000000	0.000000	0.000000	
142.000000	1.008213	0.253429	0.227493	0.052729	0.817881	0.769752	0.000000	0.000000	0.000000	
143.000000	0.988585	0.247104	0.218164	0.052332	0.818126	0.770051	0.000000	0.000000	0.000000	
144.000000	1.010491	0.252884	0.229145	0.052846	0.818384	0.770350	0.000000	0.000000	0.000000	
145.000000	1.011202	0.255198	0.228449	0.052756	0.818591	0.770616	0.000000	0.000000	0.000000	
146.000000	1.032759	0.257623	0.237063	0.053807	0.818854	0.770900	0.000000	0.000000	0.000000	
147.000000	1.039896	0.261617	0.236489	0.054179	0.819032	0.771127	0.000000	0.000000	0.000000	
148.000000	1.052924	0.266010	0.240785	0.054613	0.819205	0.771338	0.000000	0.000000	0.000000	
149.000000	1.054449	0.266393	0.239191	0.054887	0.819361	0.771530	0.000000	0.000000	0.000000	
150.000000	1.021833	0.256304	0.229046	0.053648	0.819533	0.771757	0.000000	0.000000	0.000000	
151.000000	1.021825	0.258681	0.227734	0.053541	0.819706	0.771980	0.000000	0.000000	0.000000	
152.000000	1.011577	0.249091	0.224587	0.053790	0.819919	0.772233	0.000000	0.000000	0.000000	
153.000000	1.039206	0.265575	0.236326	0.053730	0.820115	0.772454	0.000000	0.000000	0.000000	
154.000000	1.001666	0.250000	0.223813	0.052785	0.820314	0.772701	0.000000	0.000000	0.000000	
155.000000	0.984973	0.242809	0.221392	0.052077	0.820560	0.772979	0.000000	0.000000	0.000000	
156.000000	0.963558	0.238593	0.209955	0.051501	0.820778	0.773258	0.000000	0.000000	0.000000	
157.000000	0.973310	0.243644	0.214899	0.051477	0.820983	0.773514	0.000000	0.000000	0.000000	
